2010 matches,2012,notes
LA03 LA07,LA03,multiple incumbents running in LA03 (merged district?)
LA02,LA02,exact match following the incumbent
LA05,LA05,exact match following the incumbent
LA04,LA04,exact match following the incumbent
LA06,LA06,exact match following the incumbent
,OK02,no idea where this district came from
OK03,OK03,exact match following the incumbent
,OK01,no idea where this district came from
OK04,OK04,exact match following the incumbent
OK05,OK05,exact match following the incumbent
CT01,CT01,exact match following the incumbent
WA02,WA02,exact match following the incumbent
WA03,WA03,exact match following the incumbent
WA04,WA04,exact match following the incumbent
WA05,WA05,exact match following the incumbent
WA06,WA06,closest match was a losing candidate from 2010
FL17,FL24,exact match following the incumbent
FL21,FL25,exact match following the incumbent
FL25,FL26,exact match following the incumbent
FL18,FL27,exact match following the incumbent
FL23,FL20,exact match following the incumbent
FL19,FL21,exact match following the incumbent
,FL22,no idea where this district came from
FL20,FL23,exact match following the incumbent
GA13,GA13,exact match following the incumbent
GA12,GA12,exact match following the incumbent
GA11,GA11,exact match following the incumbent
GA10,GA10,closest match was a losing candidate from 2010
GA09,GA14,exact match following the incumbent
VA10,VA10,exact match following the incumbent
VA11,VA11,exact match following the incumbent
CT04,CT04,exact match following the incumbent
TX01,TX01,exact match following the incumbent
TX02,TX02,exact match following the incumbent
TX03,TX03,exact match following the incumbent
TX04,TX04,exact match following the incumbent
TX05,TX05,exact match following the incumbent
OH18,OH18,closest match was a losing candidate from 2010
TX07,TX07,exact match following the incumbent
OH13 OH16,OH16,multiple incumbents running in OH16 (merged district?)
TX09,TX09,exact match following the incumbent
OH17,OH14,closest matches from 2010's losing candidates
OH15,OH15,exact match following the incumbent
OH12,OH12,exact match following the incumbent
OH17,OH13,exact match following the incumbent
OH03,OH10,exact match following the incumbent
OH11,OH11,exact match following the incumbent
CA43,CA35,exact match following the incumbent
CA31,CA34,exact match following the incumbent
CA33,CA37,closest matches from 2010's losing candidates
CA45,CA36,exact match following the incumbent
CA42,CA31,exact match following the incumbent
CA28 CA27,CA30,multiple incumbents running in CA30 (merged district?)
CA30,CA33,exact match following the incumbent
CA38,CA32,exact match following the incumbent
NV03,NV01,closest matches from 2010's losing candidates
NV02,NV02,closest match was a losing candidate from 2010
NV03,NV03,closest match was a losing candidate from 2010
NV01,NV04,closest matches from 2010's losing candidates
CA39,CA38,exact match following the incumbent
ME02,ME02,exact match following the incumbent
ME01,ME01,exact match following the incumbent
WA08 WA01 WA02,WA01,closest matches from 2010's losing candidates
CT03,CT03,exact match following the incumbent
WA07,WA07,exact match following the incumbent
WA08,WA08,exact match following the incumbent
NH02,NH02,exact match following the incumbent
NH01,NH01,exact match following the incumbent
,KY04,no idea where this district came from
KY05,KY05,exact match following the incumbent
KY06,KY06,exact match following the incumbent
KY01,KY01,closest match was a losing candidate from 2010
KY02,KY02,exact match following the incumbent
KY03,KY03,exact match following the incumbent
UT02,UT04,exact match following the incumbent
UT03,UT03,exact match following the incumbent
,UT02,no idea where this district came from
UT01,UT01,exact match following the incumbent
TX12,TX12,exact match following the incumbent
AR04,AR04,closest match was a losing candidate from 2010
AR01,AR01,exact match following the incumbent
AR03,AR03,exact match following the incumbent
AR02,AR02,exact match following the incumbent
NE03,NE03,exact match following the incumbent
NE02,NE02,exact match following the incumbent
NE01,NE01,exact match following the incumbent
CA42 CA25,CA08,closest matches from 2010's losing candidates
CA11,CA09,exact match following the incumbent
CA04,CA04,exact match following the incumbent
CA01,CA05,exact match following the incumbent
CA05,CA06,exact match following the incumbent
CA03,CA07,exact match following the incumbent
CA02,CA01,closest matches from 2010's losing candidates
CA06,CA02,closest matches from 2010's losing candidates
CA10,CA03,exact match following the incumbent
IL09,IL09,exact match following the incumbent
IL08,IL08,exact match following the incumbent
MO08,MO08,exact match following the incumbent
IL03,IL03,exact match following the incumbent
IL02,IL02,exact match following the incumbent
IL01,IL01,exact match following the incumbent
MO07,MO07,exact match following the incumbent
IL07,IL07,exact match following the incumbent
MO01,MO01,exact match following the incumbent
MO02,MO02,closest match was a losing candidate from 2010
MO09,MO03,exact match following the incumbent
TX06,TX06,exact match following the incumbent
TX08,TX08,exact match following the incumbent
NY24,NY22,exact match following the incumbent
