1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
221,Arizona,AZ,7,H0AZ07033,,Christopher J.,Flowers,"Flowers, Christopher J.",,REP,1394,4.60%,,,,,,,,
223,Arizona,AZ,7,H0AZ07025,,Harley,Myer,"Myer, Harley",,IND,,,,,4506,2.83%,,,,
224,Arizona,AZ,7,H0AZ07074,,George,Keane,"Keane, George",,LIB,159,56.79%,,,4318,2.71%,,,,
225,Arizona,AZ,7,H0AZ07066,,Andrew,Ibarra,"Ibarra, Andrew",,LIB,121,43.21%,,,,,,,,
229,Arizona,AZ,8,H6AZ08038,(I),Gabrielle,Giffords,"Giffords, Gabrielle",,DEM,55530,100.00%,,,138280,48.76%,,,,
231,Arizona,AZ,8,H0AZ08015,,Jesse,Kelly,"Kelly, Jesse",,REP,43097,48.31%,,,134124,47.30%,,,,
232,Arizona,AZ,8,H0AZ08056,,Jonathan,Paton,"Paton, Jonathan",,REP,37066,41.55%,,,,,,,,
233,Arizona,AZ,8,H0AZ08031,,Brian,Miller,"Miller, Brian",,REP,6613,7.41%,,,,,,,,
234,Arizona,AZ,8,H6AZ08103,,Jay,Quick,"Quick, Jay",,REP,1933,2.17%,,,,,,,,
235,Arizona,AZ,8,H0AZ08023,,Andy,Goss,"Goss, Andy",,REP,502,0.56%,,,,,,,,
237,Arizona,AZ,8,H0AZ08064,,Steven,Stoltz,"Stoltz, Steven",,LIB,482,100.00%,,,11174,3.94%,,,,
265,Arkansas,AR,1,H0AR01083,,Rick,Crawford,"Crawford, Rick",,REP,14461,71.79%,,,93224,51.79%,,,,
266,Arkansas,AR,1,H0AR01125,,Princella D.,Smith,"Smith, Princella D.",,REP,5682,28.21%,,,,,,,,
268,Arkansas,AR,1,H0AR01109,,Chad,Causey,"Causey, Chad",,DEM,25854,26.98%,39402,51.47%,78267,43.48%,,,,
269,Arkansas,AR,1,H0AR01117,,Tim,Wooldridge,"Wooldridge, Tim",,DEM,36809,38.41%,37156,48.53%,,,,,,
270,Arkansas,AR,1,H0AR01133,,David R.,Cook,"Cook, David R.",,DEM,14158,14.77%,,,,,,,,
271,Arkansas,AR,1,H0AR01141,,Steve,Bryles,"Bryles, Steve",,DEM,9650,10.07%,,,,,,,,
272,Arkansas,AR,1,H0AR01166,,Terry G.,Green,"Green, Terry G.",,DEM,5094,5.32%,,,,,,,,
273,Arkansas,AR,1,H0AR01174,,Ben,Ponder,"Ponder, Ben",,DEM,4270,4.46%,,,,,,,,
275,Arkansas,AR,1,H0AR01182,,Ken,Adler,"Adler, Ken",,GRE,,,,,8320,4.62%,,,,
276,Arkansas,AR,1,H0AR01158,,Mickey,Higgins,"Higgins, Mickey",,W,,,,,196,0.11%,,,,
277,Arkansas,AR,1,n/a,,,Scattered,Scattered,,W,,,,,9,0.00%,,,,
280,Arkansas,AR,2,H0AR02107,,Tim,Griffin,"Griffin, Tim",,REP,24610,61.69%,,,122091,57.90%,,,,
281,Arkansas,AR,2,H0AR02115,,Scott,Wallace,"Wallace, Scott",,REP,15285,38.31%,,,,,,,,
283,Arkansas,AR,2,H0AR02131,,Joyce,Elliott,"Elliott, Joyce",,DEM,30420,39.73%,37021,53.76%,80687,38.27%,,,,
284,Arkansas,AR,2,H0AR02123,,Robbie,Wills,"Wills, Robbie",,DEM,21299,27.82%,31844,46.24%,,,,,,
285,Arkansas,AR,2,H0AR02156,,David,Boling,"Boling, David",,DEM,14800,19.33%,,,,,,,,
286,Arkansas,AR,2,H0AR02164,,Patrick,Kennedy,"Kennedy, Patrick",,DEM,5032,6.57%,,,,,,,,
287,Arkansas,AR,2,H0AR02149,,John,Adams,"Adams, John",,DEM,5021,6.56%,,,,,,,,
289,Arkansas,AR,2,H0AR02172,,Lance,Levi,"Levi, Lance",,IND,,,,,4421,2.10%,,,,
290,Arkansas,AR,2,H0AR02180,,Lewis,Kennedy,"Kennedy, Lewis",,GRE,,,,,3599,1.71%,,,,
291,Arkansas,AR,2,n/a,,,Scattered,Scattered,,W,,,,,40,0.02%,,,,
292,Arkansas,AR,2,H8AR02118,,Danial,Suits,"Suits, Danial",,W,,,,,14,0.01%,,,,
295,Arkansas,AR,3,H0AR03055,,Steve,Womack,"Womack, Steve",,REP,19414,31.18%,18334,51.77%,148581,72.44%,,,,
296,Arkansas,AR,3,H0AR03063,,Cecile,Bledsoe,"Bledsoe, Cecile",,REP,8253,13.25%,17080,48.23%,,,,,,
297,Arkansas,AR,3,H2AR03192,,Gunner,DeLay,"DeLay, Gunner",,REP,8088,12.99%,,,,,,,,
298,Arkansas,AR,3,H0AR03022,,Bernie,Skoch,"Skoch, Bernie",,REP,7092,11.39%,,,,,,,,
299,Arkansas,AR,3,H0AR03097,,Doug,Matayo,"Matayo, Doug",,REP,6088,9.78%,,,,,,,,
300,Arkansas,AR,3,H0AR03048,,Kurt,Maddox,"Maddox, Kurt",,REP,6037,9.70%,,,,,,,,
301,Arkansas,AR,3,H0AR03071,,Mike,Moore,"Moore, Mike",,REP,4801,7.71%,,,,,,,,
302,Arkansas,AR,3,H0AR03089,,Steve,Lowry,"Lowry, Steve",,REP,2491,4.00%,,,,,,,,
304,Arkansas,AR,3,H0AR03030,,David,Whitaker,"Whitaker, David",,DEM,Unopposed,,,,56542,27.56%,,,,
307,Arkansas,AR,4,H0AR04038,(I),Mike,Ross,"Ross, Mike",,DEM,Unopposed,,,,102479,57.53%,,,,
308,Arkansas,AR,4,H0AR04079,,Beth Anne,Rankin,"Rankin, Beth Anne",,REP,9761,55.37%,,,71526,40.15%,,,,
309,Arkansas,AR,4,H0AR04061,,Glenn,Gallas,"Gallas, Glenn",,REP,7867,44.63%,,,,,,,,
311,Arkansas,AR,4,H8AR04098,,Josh,Drake,"Drake, Josh",,GRE,,,,,4129,2.32%,,,,
336,California,CA,1,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,DEM,74695,100.00%,,,147307,62.79%,,,,
338,California,CA,1,H0CA01148,,Loren,Hanks,"Hanks, Loren",,REP,28115,60.46%,,,72803,31.03%,,,,
339,California,CA,1,H0CA01155,,Randy ,Franck,"Franck, Randy ",,REP,18383,39.54%,,,,,,,,
341,California,CA,1,H8CA01182,,Carol,Wolman,"Wolman, Carol",,GRE,1818,100.00%,,,8486,3.62%,,,,
343,California,CA,1,H0CA01163,,Mike,Rodrigues,"Rodrigues, Mike",,LIB,657,100.00%,,,5996,2.56%,,,,
347,California,CA,2,H6CA02010,(I),Wally ,Herger,"Herger, Wally ",,REP,57272,65.26%,,,130837,57.15%,,,,
348,California,CA,2,H0CA02120,,Pete ,Stiglich,"Stiglich, Pete ",,REP,30487,34.74%,,,,,,,,
350,California,CA,2,H0CA02138,,Jim,Reed,"Reed, Jim",,DEM,42334,100.00%,,,98092,42.85%,,,,
352,California,CA,2,H0CA02146 ,,Mark A.,Jensen,"Jensen, Mark A.",,W,,,,,11,0.00%,,,,
355,California,CA,3,H6CA34112,(I),Dan,Lungren,"Lungren, Dan",,REP,71918,100.00%,,,131169,50.08%,,,,
357,California,CA,3,H0CA03078,,Ami,Bera,"Bera, Ami",,DEM,49022,100.00%,,,113128,43.19%,,,,
359,California,CA,3,H0CA03102,,Jerry L.,Leidecker,"Leidecker, Jerry L.",,AIP,1614,100.00%,,,6577,2.51%,,,,
361,California,CA,3,H8CA03154,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LIB,581,100.00%,,,6275,2.40%,,,,
363,California,CA,3,H6CA03109,,Mike,Roskey,"Roskey, Mike",,PAF,121,100.00%,,,4789,1.83%,,,,
367,California,CA,4,H8CA04152,(I),Tom ,McClintock,"McClintock, Tom ",,REP,89443,78.48%,,,186397,61.27%,,,,
368,California,CA,4,H0CA04142,,Michael,Babich,"Babich, Michael",,REP,24528,21.52%,,,,,,,,
370,California,CA,4,H0CA04134,,Clint,Curtis,"Curtis, Clint",,DEM,50400,100.00%,,,95653,31.44%,,,,
372,California,CA,4,H0CA04159,,"Benjamin ""Ben""",Emery,"Emery, Benjamin ""Ben""",,GRE,728,100.00%,,,22179,7.29%,,,,
376,California,CA,5,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,DEM,56762,100.00%,,,124220,72.05%,,,,
378,California,CA,5,H8CA05159,,Paul A.,Smith,"Smith, Paul A.",,REP,14588,56.68%,,,43577,25.28%,,,,
379,California,CA,5,H0CA05073,,Erik,Smitt,"Smitt, Erik",,REP,11148,43.32%,,,,,,,,
381,California,CA,5,H0CA05081,,Gerald Allen,Frink,"Frink, Gerald Allen",,PAF,168,100.00%,,,4594,2.66%,,,,
383,California,CA,5,H0CA05099 ,,Tony,Lacy,"Lacy, Tony",,W,,,,,19,0.01%,,,,
386,California,CA,6,H2CA01045,(I),Lynn C.,Woolsey,"Woolsey, Lynn C.",,DEM,92204,99.99%,,,172216,65.94%,,,,
387,California,CA,6,H6CA06193,,,,"Halliwell, Michael J.",,W(DEM),11,0.01%,,,,,,,,
389,California,CA,6,H0CA06097,,Jim,Judd,"Judd, Jim",,REP,27770,67.89%,,,77361,29.62%,,,,
390,California,CA,6,H6CA06193,,Michael,Halliwell,"Halliwell, Michael",,REP,13136,32.11%,,,,,,,,
392,California,CA,6,H0CA06113,,Eugene E.,Ruyle,"Ruyle, Eugene E.",,PAF,185,100.00%,,,5915,2.26%,,,,
394,California,CA,6,H0CA06105,,Joel,Smollen,"Smollen, Joel",,LIB,617,100.00%,,,5660,2.17%,,,,
396,California,CA,6,H0CA06121,,Daniel W.,Roberts,"Roberts, Daniel W.",,W(AIP),27,100.00%,,,,,,,,
400,California,CA,7,H6CA07043,(I),George ,Miller,"Miller, George ",,DEM,52210,85.04%,,,122118,68.25%,,,,
401,California,CA,7,H0CA07111,,John,Fitzgerald,"Fitzgerald, John",,DEM,9188,14.96%,,,,,,,,
403,California,CA,7,H0CA07103,,Rick,Tubbs,"Tubbs, Rick",,REP,15245,57.07%,,,56798,31.75%,,,,
404,California,CA,7,H8CA07049,,Roger Allen,Petersen,"Petersen, Roger Allen",,REP,6242,23.37%,,,,,,,,
405,California,CA,7,H8CA07031,,Virginia,Fuller,"Fuller, Virginia",,REP,3662,13.71%,,,,,,,,
406,California,CA,7,H0CA00090,,Eugene ,Ray,"Ray, Eugene ",,REP,1564,5.85%,,,,,,,,
410,California,CA,8,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",,DEM,77175,100.00%,,,167957,80.07%,,,,
412,California,CA,8,H0CA08069,,John,Dennis,"Dennis, John",,REP,7013,54.88%,,,31771,15.15%,,,,
413,California,CA,8,H8CA08062,,Dana,Walsh,"Walsh, Dana",,REP,5766,45.12%,,,,,,,,
415,California,CA,8,H0CA08085,,Gloria E.,La Riva,"La Riva, Gloria E.",,PAF,216,100.00%,,,5161,2.46%,,,,
417,California,CA,8,H6CA08173,,Philip ,Berg,"Berg, Philip ",,LIB,361,100.00%,,,4843,2.31%,,,,
419,California,CA,8,H0CA08077,,Summer ,Shields,"Shields, Summer ",,W,,,,,24,0.01%,,,,
422,California,CA,9,H8CA09060,(I),Barbara,Lee,"Lee, Barbara",,DEM,82951,100.00%,,,180400,84.27%,,,,
424,California,CA,9,H0CA09075,,Gerald ,Hashimoto,"Hashimoto, Gerald ",,REP,10067,100.00%,,,23054,10.77%,,,,
426,California,CA,9,H0CA09083,,Dave,Heller,"Heller, Dave",,GRE,1915,100.00%,,,4848,2.26%,,,,
428,California,CA,9,H2CA09097,,James,Eyer,"Eyer, James",,LIB,292,100.00%,,,4113,1.92%,,,,
430,California,CA,9,H0CA09091,,Larry,Allen,"Allen, Larry",,PAF,205,100.00%,,,1670,0.78%,,,,
434,California,CA,10,H0CA10149,(I),John,Garamendi,"Garamendi, John",,DEM,62138,100.00%,,,137578,58.84%,,,,
436,California,CA,10,H0CA10180,,Gary,Clift,"Clift, Gary",,REP,25331,54.60%,,,88512,37.86%,,,,
437,California,CA,10,H0CA10230,,Buddy,Burke,"Burke, Buddy",,REP,21060,45.40%,,,,,,,,
439,California,CA,10,H0CA10164,,Jeremy,Cloward,"Cloward, Jeremy",,GRE,502,100.00%,,,7716,3.30%,,,,
441,California,CA,10,H0CA10214,,"Jerome H. ""Jerry""",Denham,"Denham, Jerome H. ""Jerry""",,AIP,1058,100.00%,,,,,,,,
445,California,CA,11,H4CA11081,(I),Jerry,McNerney,"McNerney, Jerry",,DEM,48772,100.00%,,,115361,47.97%,,,,
447,California,CA,11,H0CA10123,,David,Harmer,"Harmer, David",,REP,24626,36.44%,,,112703,46.86%,,,,
448,California,CA,11,H0CA11303,,Brad,Goehring,"Goehring, Brad",,REP,18300,27.08%,,,,,,,,
449,California,CA,11,H0CA11337,,"Antonio C. ""Tony""",Amador,"Amador, Antonio C. ""Tony""",,REP,13355,19.76%,,,,,,,,
450,California,CA,11,H0CA11352,,Elizabeth,Emken,"Emken, Elizabeth",,REP,11306,16.73%,,,,,,,,
452,California,CA,11,H0CA11360,,David,Christensen,"Christensen, David",,AIP,1291,100.00%,,,12439,5.17%,,,,
456,California,CA,12,H8CA12171,(I),Jackie ,Speier,"Speier, Jackie ",,DEM,64770,100.00%,,,152044,75.58%,,,,
458,California,CA,12,H8CA12148,,Mike,Moloney,"Moloney, Mike",,REP,20460,97.26%,,,44475,22.11%,,,,
459,California,CA,12,H0CA12095,,Michael Douglas,Parker,"Parker, Michael Douglas",,W(REP),576,2.74%,,,,,,,,
461,California,CA,12,H0CA12087,,Mark Paul,Williams,"Williams, Mark Paul",,LIB,313,100.00%,,,4611,2.29%,,,,
463,California,CA,12,H0CA12103,,Joseph Michael,Harding,"Harding, Joseph Michael",,W,,,,,32,0.02%,,,,
466,California,CA,13,H6CA09023,(I),Fortney Pete,Stark,"Stark, Fortney Pete",,DEM,48603,84.35%,,,118278,71.95%,,,,
467,California,CA,13,H0CA13093,,Justin ,Jelincic,"Jelincic, Justin ",,DEM,9021,15.65%,,,,,,,,
469,California,CA,13,H0CA13101,,Forest ,Baker,"Baker, Forest ",,REP,10591,54.53%,,,45575,27.73%,,,,
470,California,CA,13,H0CA13085,,Luis,Garcia,"Garcia, Luis",,REP,8831,45.47%,,,,,,,,
472,California,CA,13,H0CA13119,,Chris,Pareja,"Pareja, Chris",,W,,,,,525,0.32%,,,,
475,California,CA,14,H8CA12098,(I),Anna G.,Eshoo,"Eshoo, Anna G.",,DEM,66978,100.00%,,,151217,69.09%,,,,
477,California,CA,14,H0CA14075,,Dave,Chapman,"Chapman, Dave",,REP,17783,52.98%,,,60917,27.83%,,,,
478,California,CA,14,H8CA14169,,Ronny,Santana,"Santana, Ronny",,REP,15783,47.02%,,,,,,,,
480,California,CA,14,H0CA14083,,Paul,Lazaga,"Lazaga, Paul",,LIB,624,100.00%,,,6735,3.08%,,,,
